"id","catagory","hasImage","question","answerA","answerB","answerC","answerD","correctAnswer"
"191","11","0","When are lighting up hours?","When visibility is less than 200 meters.","From mid-night until 6 a.m.","From just after dusk to just before dawn.","When visibility is less than 300 meters.","C"
"192","11","0","What lights should a vehicle show at dusk?","Dipped headlights.","No lights.","Full headlamps.","Fog lamps.","A"
"193","11","0","What do rumble strips warn a driver of?","A danger immediately ahead or to the side.","That there is a railway level crossing ahead.","That they are entering a speed limit area.","That there is a stop sign ahead.","A"
"194","11","0","What is the purpose of traffic calming measures?","To alert the driver to road flooding ahead.","To slow down traffic in the vicinity.","To prioritise heavy goods traffic.","To reduce tyre wear.","B"
"195","11","0","When may a trailer be towed on a public road without a rear number plate?","When being pulled by an agricultural tractor.","Never, a number plate must always be displayed.","When the tailboard is removed.","When carrying a load that overhands the rear of the trailer.","B"
"196","11","0","When may you pass another vehicle on the left-hand side?","Never.","When there is sufficient space to do so.","When the vehicle in front is signaling to turn right or in slow moving lanes of traffic.","When the car in front of you is moving too slowly and you cannot pass on the right-hand side because of oncoming traffic.","C"
"197","11","0","Who can use a signed cycle track accompanied by a continuous white line on the left-hand side?","You may drive in it to overtake a vehicle turning right.","You may drive in it provided you are not towing a trailer.","Cyclists and users of motorised wheelchairs.","You may drive in it provided it is not being used by a cyclist.","C"
"198","11","0","What traffic may drive along on a cycle lane accompanied by a broken white line?","Buses, taxis and cyclists.","Cyclists and users of motorised wheelchairs.","Buses on a scheduled service and cyclists.","Cyclists and mopeds.","B"
"199","11","0","When must drivers stop at a railway level crossing controlled by lights and barriers?","When the red lights start to flash.","When the lights stop flashing.","When the barrier is fully up.","Never.","A"
"200","11","0","At a level crossing with unattended gates, what should a driver do?","Open both gates and after passing the first stop and close it.","Open both gates before proceeding to cross.","Drive half-way across and close the first gate before opening the second.","Telephone the nearest railway station before opening a gate.","B"
"201","11","0","What lights indicate a zebra crossing?","Flashing amber beacons.","Continuously lit amber beacons.","Flashing red beacons.","Continuously lit red beacons.","A"
"202","11","0","What do flashing amber arrows indicate?","The direction indicated is a cul-de-sac.","There is a weight restriction in the direction indicated.","Drivers are prohibited to proceed in the direction indicated.","Drivers should proceed in the direction indicated.","D"
"203","11","0","What do temporary traffic lights at road works mean?","A Driver need only obey while road workers are on site.","A Driver need not obey if there is no oncoming traffic.","A Driver must comply with the lights at all times.","A Driver need not obey if a convoy of traffic is going the same direction as you.","C"
"204","11","0","When do temporary speed limits apply at roadworks?","Only apply when the road workers are on site.","Need not be obeyed if there is no oncoming traffic.","Do not apply to earth moving vehicles being used on the road work site.","For the duration of the roadworks.","D"
"205","1","1","What is the correct action to take in this situation?","Keep a close eye on the children, if necessary give a warning signal and be prepared to brake in good time.","Speed up to pass the children quickly.","Continue to drive at a fast speed.","Drive closer to the left-hand kerb.","A"
"206","1","1","An approaching driver notices that the boy on the childrenâ€™s bicycle has said goodbye to his friend. What is the correct action for the driver to take?","Proceed as the boy is on the footpath.","Stop the car until the boy has moved off.","Be prepared for the boy setting off at any moment without paying attention to your vehicle.","Slow down and beckon the boy to cross the road.","C"
"207","1","1","As the driver of the car, which conduct is correct?","A driver may proceed.","A driver must drive on the right-hand side to allow clearance to the motorcyclist.","A driver must wait.","A driver must give right of way to the motorcyclist.","A"
"208","1","1","What should the car diver do in this situation?","The driver must stop and yield right of way to the other road users.","The driver may drive around the corner before the cyclist.","The driver must allow the cyclist to proceed.","The driver must allow the motorcyclist to proceed.","C"
"209","1","1","What must a driver be prepared for in this situation?","The ball could damage your vehicle.","One of the children could turn back to collect the ball from the roadway.","The ball may burst after you have passed.","A pothole on the road could damage a tyre on your car.","B"
"210","1","1","When approaching the pedestrian crossing, what should the driver do in this situation?","Slow down in good time and be prepared to stop.","Continue to drive on fast because the pedestrians have to wait.","Maintain your speed because the pedestrians have not stepped on to the crossing.","Sound the horn to draw attention to your vehicle and continue to drive at the same speed.","A"
"211","1","1","What should the driver do in this situation?","The driver may proceed onto the roundabout in front of the yellow car.","The driver must yield to the yellow car on the roundabout.","As the driver is entering the roundabout they have right of way.","The driver must wait for the yellow car to stop.","B"
"212","1","1","What should the car driver do in this situation?","The car driver may proceed first.","The car driver must allow the motorcycle to proceed.","The car driver must allow the bus to proceed.","The car driver is not allowed to turn right.","B"
"213","1","1","What should the driver do in this situation?","The driver may turn in front of the other two cars.","The driver must allow the red car to proceed.","The driver must stop and allow all other traffic to proceed.","The driver must allow the blue car to proceed.","A"
"214","1","1","Why should a driver be alert in this area?","Pedestrians may cross between parked cars.","Pedestrians are only allowed to cross the road at pedestrian crossings.","Potholes may cause damage to your tyres.","Cars may pull out in front of you.","A"
"215","1","1","What should the driver do if children are playing at the edge of the roadway?","Maintain the same speed because the children can see an oncoming vehicle quite clearly at this point.","Accelerate and move to the right-hand side of the road to avoid the children.","Reduce speed, drive cautiously and remain ready to brake.","Give a warning signal and drive past at the same speed.","C"
"216","1","1","What should the driver do in this situation?","The cyclist must allow the other vehicles to proceed.","The driver has to let the van cross the junction.","The cyclist must proceed first.","The driver may cross first with caution.","D"
"217","1","1","What should the driver do in this situation?","The driver may proceed first.","The driver must allow the orange car cross.","The driver is not allowed to turn left.","The driver is not allowed to turn right.","A"
"218","1","1","What should the driver do in this situation?","The driver must allow the blue truck to proceed.","The driver is not allowed to turn right.","The driver must allow the yellow car to proceed.","Turn up the volume on the radio.","A"
"219","1","1","What should a driver be conscious of in this situation?","Traffic emerging from the street on the left.","The bus driver will always signal before moving off.","The bus may start to reverse.","People crossing the street at the rear of the bus.","D"
"220","1","1","The silver car is overtaking the parked car, what should the driver do in this situation?","The driver should drive on if you don't hit the ball.","The driver should drive on at the same speed.","Reduce speed considerably and be ready to stop.","The driver should move closer to the red car.","C"
"221","1","1","What should a driver be aware of in this situation?","Pedestrians may leave the traffic island without paying attention.","Nothing as pedestrians are always careful in this situation.","Oncoming traffic may serve to avoid pedestrians/","A pothole on the road may cause damage to your tyres.","A"
"222","1","1","The driver is following these two vehicles and wishes to overtake. What must the driver consider before overtaking here?","You should overtake both vehicles together.","The drivers field of view is not good enough to allow safe overtaking.","The roadway marking forbids overtaking here.","Pedestrian crossing ahead.","B"
"223","1","1","What should a driver do when approaching a vehicle which is attempting to park?","Give warning signal and drive on quickly.","Drive close to the car without crossing the broken line.","That the vehicle being parked may move out without warning.","Pedestrian crossing ahead.","C"
"224","1","1","What should the driver allow for when following the bus on an icy road?","A longer braking distance.","Expect bus driver to wait until you have overtaken him.","Pedestrians will not dash across the road.","School children waiting for the bus.","A"
"225","1","1","What should the driver of the silver car do before turning left?","Beckon to the cyclist that you intend to turn left.","Turn the corner before the cyclist.","Allow the cyclist heading straight on to pass.","Increase speed to be able to turn the corner before the cyclist.","C"
"226","1","1","What lights should a driver use in a fog?","Front and rear fog lights along with dipped headlights.","Front and rear fog lights .","Dipped headlights.","Just normal lights.","A"
"227","1","1","What should the driver be conscious of in this situation?","The pedestrians will first allow the vehicle to drive past before crossing the road.","The pedestrian may suddenly cross the roadway in front of the vehicle.","The driver allow more clearance than usual and drive on.","The steep incline may cause the vehicle to stall.","B"
"228","1","1","What should the driver do when approaching this situation?","The driver should maintain current speed and following distance from the silver car.","The driver should be prepared for the vehicle in front to increase speed.","Reduce speed and remain ready to break since the girl on foot could suddenly cross the road.","The driver may overtake the car and the girl as the road is marked with a broken white line.","C"
"229","1","1","What should the driver do?","The driver does not need to signal.","The driver may cross the junction first.","The driver should allow the cyclist to turn.","The driver should allow the yellow car to proceed.","D"
"230","1","1","Which car, if any, is parked incorrectly ?","Both cars.","The green car.","The red car.","Neither car.","A"
"231","1","1","What should a driver be aware of in this situation?","The cyclist will move onto the roadway without paying attention to moving traffic.","A driver should move to the right-hand side in case the cyclist moves out.","The cyclist will stay on the cycle path.","The cyclist will stop at the end of the cycle path and allow the traffic to pass by.","A"
"232","1","1","A driver wants to pull out of a driveway and turn right onto the road. At the same time a cyclist is approaching from the right and a pedestrian wants to cross. Who must wait?","The pedestrian must wait.","The driver must wait.","The cyclist must wait.","The pedestrian and cyclist must wait.","B"
"233","1","1","What action should the driver take?","The driver may turn off before the cyclist when the bus has passed.","The cyclist must allow both the driver and the bus to proceed.","Stop at the stop line.","The cyclist must allow bus to proceed.","C"
"234","1","1","What should a driver do when travelling behind this vehicle?","Drive up as close as possible to the vehicle ahead in order not to lose it out of your sight.","Reduce speed and prepare to stop if necessary.","Switch on full headlights before overtaking.","Pedestrian crossing ahead.","B"
"235","1","1","How should a driver overtake the cyclist in this situation?","By crossing the broken white line.","By not crossing the broken white line.","The driver should not overtake here.","By not crossing any of the lines.","A"
"236","1","1","What does this road marking mean?","Vehicles may not cross or straddle the line.","The line may only be crossed during daylight hours.","Only motorcycles may cross or straddle the line.","You may park during day light hours.","A"
"237","1","1","What does this road marking mean?","Pick up a passenger.","Reverse the vehicle.","No U-turn allowed.","The line may only be crossed during daylight hours.","C"
"238","1","1","What does a broken white line in the centre of the road mean?","A driver may straddle or cross the broken line in order to avoid an obstruction or to overtake.","Oncoming traffic other than slow earth moving vehicles may overtake.","Only oncoming traffic towards you may cross the line.","No traffic may cross the line.","A"
"239","1","1","The driver intends to turn left at this junction - what should the driver do?","Allow the cyclist to continue before turning left.","Yield right of way to the van.","Turn left in front of the cyclist.","Allow the van and cyclist to proceed.","A"
"240","1","1","Why might it be dangerous to drive on a poorly-lit street?","Traffic lights will not be working.","Pedestrians crossing in a dark area might be difficult to see.","Drivers can only see traffic coming against them.","Drivers can only see traffic in front of them.","B"
"241","1","1","Why might it be dangerous to drive on a poorly-lit street?","Traffic lights will not be working.","Only oncoming traffic will see you.","Only following traffic will see you.","It may be difficult to make out poorly lit vehicles in the dark areas.","D"
"242","1","1","The driver intends to turn right at this junction - what should the driver do?","Proceed before the bus.","Proceed after the bus and motorcycle have passed.","Proceed before the motorcycle.","Allow the motorcycle to proceed.","B"
"244","1","1","The driver intends to turn right at this junction - what should the driver do?","Stop at the line.","Proceed in front of the motorcycle and the bus.","Stop in front of the motorcycle.","Stop in front of the bus.","A"
"245","1","1","What should a driver do if dazzled by the lights of an oncoming vehicle?","Dazzle the oncoming vehicle with their own full beam.","Look to the left-hand edge of the roadway and if necessary reduce speed.","Flash the oncoming vehicle.","Accelerate to get out of the range of the dazzle as quickly as possible.","B"
"246","1","1","What should you do when approaching traffic lights that change from green to amber?","Accelerate and complete the turn.","Proceed, as the green light is about to come on.","Stop, unless it is not safe.","Continue with care being ready to stop if the light turns to red.","C"
"247","1","1","When intending to turn right as shown, what should the car driver do?","The oncoming vehicle should wait.","You should wait, the truck may proceed first.","Proceed before the truck.","Proceed before both vehicles.","C"
"248","1","1","What danger should a driver allow for over the brow of this hill?","Traffic calming measures may apply.","There may be a slow-moving vehicle in your lane.","There may be a bus stop.","The driver may have to reduce speed at a Pelican-Crossing.","B"
"249","1","1","What danger should a driver allow for over the brow of this hill?","A vehicle may have broken down.","Traffic calming measures may apply.","The driver may have to reduce speed at a Pelican-Crossing.","There may be a bus stop.","A"
"250","1","1","What danger should a driver allow for over the brow of this hill?","Speed cameras may be in operation.","There may be no road markings.","A high-sided vehicle may be oncoming.","An oncoming vehicle may be straddling part of your lane.","D"
"251","1","1","What danger should a driver allow for over the brow of this hill?","There may be oncoming pedestrians.","There may be no road markings.","Speed cameras may be in operation.","A high-sided vehicle may be oncoming.","A"
"252","1","1","What danger should a driver allow for over the brow of this hill?","There may be livestock on the road.","An oncoming vehicle may not have power steering.","An oncoming vehicle may have low oil pressure.","An oncoming vehicle may not have a catalytic converter.","A"
"253","1","1","What danger should a driver allow for over the brow of this hill?","There may be hedge-cutting taking place.","Traffic calming measures may apply.","There may be a pelican crossing ahead.","A high-sided vehicle may be approaching.","A"
"254","1","1","What should a driver be aware of in this situation?","There may be a car hidden from view in front of the bus.","A car oncoming towards you will not overtake the bus.","Only buses may use the road.","The bus may be towing a trailer.","A"
"255","1","1","What should a driver do when continuing straight ahead in the middle lane?","Take any lane as convenient.","Slow down and allow the driver to change lanes.","Overtake the other vehicles quickly on the right-hand side.","Take position in the right-hand lane even if proceeding straight ahead.","B"
"256","1","1","What should a driver be aware of when following the motorcyclist, and the white car is reversing onto the road?","The reversing driver will stop when he sees the motorcyclist.","The motorcyclist may suddenly brake.","The motorcyclist may beckon the reversing driver to stop.","The brake-lights may go off and the car continue reversing.","B"
"257","1","1","What should a driver be aware of when following the motorcyclist, and the white car is reversing onto the road?","The reversing driver will stop when he sees the motorcyclist.","The driver following the motorcycle may need a longer braking distance than normal.","The motorcyclist may beckon the reversing driver to stop.","The brake-lights may go off and the car continue reversing.","B"
"258","1","1","What should a driver do on the approach to this situation?","Give way only if you are towing a trailer or caravan.","Drive on because the oncoming traffic must wait.","Increase speed in order to clear the bridge before the oncoming car.","Reduce speed and stop if necessary.","D"
"259","1","1","When driving on a cobblestone road why should you take extra care?","The road surface is uneven and road grip varies.","Driving on the tracks can improve tyre grip.","The road surface is particularly even and tyre grip is improved.","Driving for extended periods on cobblestones may cause a migraine.","A"
"260","1","1","After a heavy downpour, why should the driver keep a greater distance from vehicles in front?","Because wheels rotate at slower speed after rain.","Because wheel-spray may impair visibility.","Because wheels rotate at greater speed after rain.","Because the visibility of the leading car's break lights may be impaired.","B"
"261","1","1","After a heavy downpour why should the driver keep a greater distance from vehicles in front?","Because wheels rotate at slower speed after rain.","Because wheels rotate at greater speed after rain.","Because stopping distances are greater.","Because the visibility of the leading car's break lights may be impaired.","C"
"262","1","1","When driving on this one-way street with vehicles parked on both sides, what should a driver be prepared for?","The truck may be a left-hand drive vehicle.","The truck may not have proper markings.","A vehicle door may open on either side of the street.","The driver of the truck may not speak English.","C"
"263","1","1","When driving on this one-way street with vehicles parked on both sides, what should a driver be prepared for?","The truck may not have proper markings.","Pedestrians crossing between vehicles.","The truck may be a left-hand drive vehicle.","Slippery driving conditions.","B"
"264","1","1","Why must a driver be particularly careful here?","The vehicle coming from the right has right of way.","Because a vehicle could come from then left.","The vehicle coming from the right is not required to signal.","Because there is an increased danger of skidding.","D"
"265","1","1","What should a driver do in this situation when intending to turn left?","Proceed between both pedestrians.","Wait and allow both pedestrians to cross.","Sound the horn, and accelerate to proceed promptly.","Allow one pedestrian to cross, and then proceed as there should be room to clear the junction.","B"
"266","1","1","What should a driver do when turning right at this junction?","Stop, oncoming traffic has right of way.","Allow the red car to proceed.","Proceed.","Allow the blue car to proceed.","B"
"267","1","1","What should the car driver be aware of in this situation?","Oncoming traffic may cut the corner.","Following traffic may cut the corner.","The road ahead will be a dual carriageway.","Following traffic may attempt to overtake you.","A"
"268","1","1","What should the car driver be aware of in this situation?","Road marking is taking place ahead.","The road ahead is solely for cars and other light vehicles.","Animals could suddenly appear on the road ahead.","Road works may be taking place ahead.","C"
"269","1","1","What should a driver be aware of when driving at night along a shopping street with many different light sources?","Parking spaces may be difficult to notice.","Traffic lights may be difficult to distinguish from the other bright lights.","It is easier to see pedestrians because of the bright lights.","Other vehicles do not need to use their head lights.","B"
"270","1","1","What should a driver be most aware of in this situation?","Animals could suddenly appear on the road ahead","Children may unexpectedly run out from between parked cars.","A car may pull out in front of you.","The incline of the road.","B"
"271","1","1","What should a driver do in this situation?","Drive on quickly in order not to delay following traffic.","Reduce speed and be prepared to stop because other children could follow.","Maintain your speed. The driver does not expect other children.","Sound the horn as a warning and proceed.","B"
"272","1","1","In this situation who should wait?","The driver behind the stopped van should wait.","Whichever driver is furthest away from the van.","The oncoming traffic must wait.","Whichever driver is more patient.","A"
"273","1","1","In this situation, who should wait?","You should wait.","The driver in the red car should wait.","Either driver should wait.","Whichever driver is more patient.","B"
"274","1","1","What should a driver do when following the cyclist who is approaching a parked car?","The cyclist must allow you to pass first.","The cyclist will take proper observations before proceeding.","The cyclist may overtake the parked car on the right.","The driver has enough space to pass the cyclist and car together safely.","C"
"275","1","1","In this situation, should you overtake the cyclists?","No, the driver cannot see clearly ahead.","Yes, provided the broken line does not become continuous.","Yes, the cyclists will hear your vehicle and thus will get out of the way.","Yes, any oncoming traffic can observe the situation and will get out of the way.","A"
"276","1","1","What should a driver be prepared for in this situation?","The cyclist ahead may move out to turn right at the junction.","The cyclist will take up position further to the left.","The cyclist further ahead may sway to the left.","The tyres on the cyclists bike may puncture.","A"
"277","1","1","What should a driver do in this situation?","Allow the pedestrian to cross the road.","Sound your horn and drive on.","Wait at the zebra crossing until the van has turned off.","Accelerate quickly to clear the crossing.","A"
"278","1","1","What should a driver be aware of in this situation?","A minor road to the left ahead.","A dangerous right-hand bend.","A minor road to the right ahead.","A sharp dip in the road ahead.","B"
"279","1","1","What must a driver be prepared for in this situation?","An area where there is cattle on the road.","Turning left ahead because of road works.","An area where signals are not given.","Road workers crossing ahead.","B"
"280","1","1","What should a driver who wants to turn right do in this situation?","Carefully turn to the left after sounding the horn.","Proceed straight ahead and take a wide turn to the right.","Reverse and get into the right lane.","Proceed straight ahead or turn left.","D"
"281","1","1","Which vehicle is in the correct position to make a right turn from the major road into the minor road?","Car 1 is in the correct position to make the right turn.","Car 2 is in the correct position to make the right turn.","Car 3 is in the correct position to make the right turn.","Car 4 is in the correct position to make the right turn.","C"
"282","1","1","Which vehicle is in the correct position to make a left turn from a minor road onto a major road?","Car 1 is in the correct position to make the left turn.","Car 2 is in the correct position to make the left turn.","Car 3 is in the correct position to make the left turn.","Car 4 is in the correct position to make the left turn.","B"
"283","1","1","Which vehicle is in the correct position to make a right turn from a minor road onto a major road?","Car 1 is in the correct position to turn right","Car 2 is in the correct position to turn right","Car 3 is in the correct position to turn right","Car 4 is in the correct position to turn right","A"
"672","1","0","What should a driver do when they want to use a mobile phone?","Reduce speed and be alert for other road users.","Pull in and stop in a safe place.","Allow a wider gap to open up with the vehicle in front and continue at normal speed.","Keep the conversation short.","B"
"673","1","0","When parked on a busy road, what should the driver be aware of?","Before opening the door the driver should make sure it is safe to do so.","The handbrake is not applied.","The wheels of the vehicle are angles away from the kerb.","The gear lever is in the neutral position before getting out.","A"
"674","1","0","What should a driver be aware of when queuing where there are multiple lanes of traffic?","Motorcycles or bicycles may come up on either side.","Motorcycles or bicycles may come up on your right.","Motorcycles or bicycles may come up on either side only when there is a roundabout ahead.","Motorcycles or bicycles may come up on your left.","A"
"675","1","1","In this situation, what should the driver in the right-hand lane of the dual carriageway be aware of?","Crosswinds may blow the rider into their path.","Reduced visibility.","Oncoming traffic.","The motorcyclist may perform a 'U'-turn.","A"
"815","1","1","What does a white line in the centre of the road mean?","Vehicles may cross the line for a short time.","Vehicles may park during daylight hours only.","Vehicles may not cross or straddle the line.","Vehicles may perform a U-turn.","C"
"816","1","1","What does a continuous white line along the centre of the road mean?","No U-turn allowed.","Motorcyclists can overtake.","Parking allowed during business hours.","U-turn allowed during daylight hours.","A"
"817","1","1","What should a driver do at an amber traffic light?","Continue only if sure that the junction is clear of pedestrians.","Make sure to pass the lights before they turn red.","Continue as there is not traffic at the junction.","Stop at the line unless it is not safe to do so.","D"
"881","1","0","When driving on a road with tram lines why should a driver take extra care?","Driving on tracks can improve braking.","Driving on tracks can improve steering","Driving on tracks can reduce tyre grip.","Driving on tracks can improve tyre grid.","C"
"284","4","0","What should the driver do when there is a sharp dip in the road ahead?","Move to the centre of the road in order to avoid a vehicle that may be parked on the left.","Flash your lights to warn oncoming drivers of your presence.","Reduce your speed, keep to the left and be alert for hazards ahead.","Increase your speed.","C"
"285","4","0","What should a driver do if they see a red warning triangle on the road?","Stop and await instructions.","The driver should slow down and expect a hazard up ahead.","Avoid it, maintain speed and carry on.","Stop at the triangle before proceeding.","A"
"286","4","0","The driver is approaching traffic lights that they know have been green for some time. What should the driver do?","The driver should prepare to stop in case the lights change before they reach them.","Accelerate to clear them before they change.","Maintain the current speed.","Maintain the current speed and sound your horn as you approach.","A"
"287","4","0","What should a driver do when approaching a junction normally controlled by traffic lights and the traffic lights are not lighting?","Treat the junction as an unmarked junction and proceed cautiously while watching out for other traffic.","Drive smartly through the junction to avoid delay.","Stop at the junction and give way to traffic on your left.","Switch on the hazard warning lights and drive on.","A"
"288","4","0","What should the driver do if there are cattle on the road ahead?","Sound the horn to try get the cattle to move aside.","The driver should reduce speed and overtake with care.","Switch on your headlights and try to pass as quickly as possible.","Sound the horn and overtake with care.","B"
"289","4","0","What should a driver do if they see horse riders on the road ahead?","Maintain their speed while taking extra observation of the horses and how they are controlled by the riders.","The driver should reduce speed and allow extra clearance and pass with care.","Sound the horn and reduce their speed.","Turn on your hazard warning lights and continue at normal speed.","B"
"290","4","0","What should drivers be aware of if they meet horses with riders on the road?","Drivers should be aware that loud noises from your vehicle may frighten the horses and cause them to bolt.","All horse riders are experienced at handling horses.","Any loud noise from your vehicle will not frighten the horses.","They may only pass in single file.","A"
"291","4","0","What should the driver do when approaching a humpbacked hill?","The driver should reduce speed, keep to the left and be alert for hazards ahead.","Press the clutch pedal and sound the horn as a warning.","Maintain normal speed and road position.","Stop at the crest of the hill.","A"
"292","4","0","What should a driver do if there is a large oil spill on the road?","Maintain normal speeds in a lower gear and apply the hazard warning lights.","Depress the clutch and brake sharply and apply the hazard warning lights.","Try to straddle it with your wheels while maintaining normal speed.","Reduce speed by gently applying the brakes and switch on the hazard warning lights.","D"
"293","4","0","What do flashing amber beacons on an oncoming vehicle alert a driver to?","That the oncoming traffic maybe slow moving or extra wide.","Is an emergency vehicle.","Is broken down.","Is fast moving.","A"
"294","4","0","What should a driver do if they meet a vehicle with flashing amber beacons?","That the oncoming vehicle is broken down.","That the oncoming vehicle is an emergency vehicle.","The oncoming vehicle is fast moving.","Slow down and be prepared to stop.","D"
"295","4","0","What should a driver be aware of before crossing railway or tram lines?","Tyre grip may be improved crossing the rails.","The wheels may become caught in the rails.","There may be an uneven surface and tyre grip may be reduced when crossing.","Oncoming trains.","C"
"296","4","0","What should the driver be aware of when crossing road markings such as lines and directional arrows?","The stopping distance is reduced due to improved tyre grip.","The steering control is improved.","The stopping distance is increased due to reduced tyre grip.","The braking is improved.","C"
"297","4","0","There are pedestrians on the footpath ahead and there are pools of water on the road. What should a driver do?","Sound the horn as a warning to the pedestrians and continue on.","Reduce speed and try to avoid the pools of water so as not to splash the pedestrians.","Flash the lights as a warning to the pedestrians.","Brake suddenly as you approach the pools of water.","B"
"298","4","0","When preparing to stop, a driver notices the vehicle behind is towing a trailer. What should the driver do?","Indicate in good time and pull up gradually to allow the vehicle behind extra stopping distance.","Use the hand brake to stop.","Speed up temporarily to put more distance between your vehicle and the vehicle behind you.","Stop quickly keeping a close eye on the rear-view mirror.","A"
"299","4","0","The bus ahead is moving away from a bus stop. What should a driver do?","Drive alongside it because you have right-of-way.","Slow down and allow it to move out.","Try to get past it to avoid being delayed.","Signal to the bus driver to let you pass.","B"
"300","4","0","What should a driver do on a narrow road when another vehicle is coming in the opposite direction?","Maintain its position and expect the other vehicle to move over if necessary.","Reduce speed and allow reasonable clearance between their vehicle and the oncoming one before proceeding.","Expect the other driver to pull off the road.","Drive along the middle of the road to encourage other drives to pull in.","B"
"301","4","0","When driving along and wishing to stop at a shop on the side of the street in order to make a purchase, what should a driver do?","Continue on to a safe parking space.","Switch on you hazard warning lights and park slightly up on the footpath.","Continue to a point where a 'U-turn' can be made safely and return to park on the footpath in the proper direction.","Park on the footpath so as not to impede the free flow of traffic on the road.","A"
"302","4","0","When a driver is driving behind another vehicle that they do not intend to overtake, what should the driver do?","Keep well back and to the centre of the road.","Keep well back to allow following traffic to overtake them.","Drive close behind it in order to let following traffic overtake both vehicles.","Signal to following traffic to overtake both vehicles.","B"
"303","4","0","Why is tailgating (driving too close behind the vehicle in front) dangerous?","The driver exceeds the speed limit when tailgating.","The drivers braking system is less efficient.","The driver prevents other vehicles from overtaking both vehicles safely.","The vehicle will not have sufficient distance to stop safely in an emergency.","D"
"304","4","0","Is tailgating allowed on a motorway or dual carriageway?","Yes, because there will be no oncoming traffic.","Only when all traffic moves in one direction at the same speed.","Yes, because traffic will not have to stop suddenly.","No, because the vehicle in front may stop suddenly.","D"
"305","4","0","What danger can arise during daylight when a driver enters an area that is heavily shaded by overhanging trees?","The vehicle's engine could suddenly run cold.","Visibility could be suddenly reduced.","The vehicle's windscreen could fog up.","Falling branches.","B"
"306","4","0","What should a driver do when being overtaken by another vehicle?","Continue at the same pace.","Move to the right.","Move to the left.","Increase your speed.","A"
"307","4","0","When should signals (for example, with indicators) be given to other road users?","Only when it is necessary to warn following traffic.","Only when it is necessary to warn oncoming traffic.","Clearly and in good time to let other road users know your intentions.","Except where road markings indicate your direction.","C"
"308","4","0","When driving into a narrow gap between oncoming vehicles and vehicles parked on the left. What should a driver do?","Edge your way forward around the parked vehicles.","Signal to oncoming traffic to halt and move to the right and drive as normal.","Indicate and drive on enforcing your priority.","Indicate right, stopping if necessary, until the oncoming traffic has passed by.","D"
"309","4","0","How does giving a late signal affect other road users?","Only oncoming traffic are affected.","They may not have sufficient time to react.","They always have sufficient time in which to react.","They are not affected.","B"
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
